,Match_Id,Date,Gender,Venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
0,1001349,2017-02-17,male,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,['DAS Gunaratne']
1,1001351,2017-02-19,male,"Simonds Stadium, South Geelong",Australia,Sri Lanka,Sri Lanka,field,Sri Lanka,['DAS Gunaratne']
2,1001353,2017-02-22,male,Adelaide Oval,Australia,Sri Lanka,Sri Lanka,field,Australia,['A Zampa']
3,1004729,2016-09-05,male,"Bready Cricket Club, Magheramason",Ireland,Hong Kong,Hong Kong,bat,Hong Kong,['A Zampa']
4,1007655,2016-06-18,male,Harare Sports Club,Zimbabwe,India,India,field,Zimbabwe,['E Chigumbura']
5,1007657,2016-06-20,male,Harare Sports Club,Zimbabwe,India,Zimbabwe,bat,India,['BB Sran']
6,1007659,2016-06-22,male,Harare Sports Club,Zimbabwe,India,Zimbabwe,field,India,['KM Jadhav']
7,1019979,2017-01-03,male,McLean Park,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,['KS Williamson']
8,1019981,2017-01-06,male,Bay Oval,New Zealand,Bangladesh,Bangladesh,field,New Zealand,['C Munro']
9,1019983,2017-01-08,male,Bay Oval,New Zealand,Bangladesh,Bangladesh,field,New Zealand,['CJ Anderson']
10,1020029,2017-02-17,male,Eden Park,New Zealand,South Africa,New Zealand,field,South Africa,['Imran Tahir']
11,1031431,2017-06-21,male,The Rose Bowl,England,South Africa,South Africa,bat,England,['JM Bairstow']
12,1031433,2017-06-23,male,County Ground,England,South Africa,England,field,South Africa,['CH Morris']
13,1031435,2017-06-25,male,Sophia Gardens,England,South Africa,South Africa,field,England,['DJ Malan']
14,1034825,2017-01-26,male,Green Park,India,England,England,field,England,['MM Ali']
15,1034827,2017-01-29,male,"Vidarbha Cricket Association Stadium, Jamtha",India,England,England,field,India,['JJ Bumrah']
16,1034829,2017-02-01,male,M Chinnaswamy Stadium,India,England,England,field,India,['YS Chahal']
17,1040485,2017-03-08,male,Greater Noida Sports Complex Ground,Afghanistan,Ireland,Ireland,bat,Afghanistan,['Samiullah Shenwari']
18,1040487,2017-03-10,male,Greater Noida Sports Complex Ground,Afghanistan,Ireland,Afghanistan,bat,Afghanistan,"['Najeeb Tarakai', 'Rashid Khan']"
19,1040489,2017-03-12,male,Greater Noida Sports Complex Ground,Afghanistan,Ireland,Ireland,field,Afghanistan,['Mohammad Nabi']
20,1041615,2016-08-27,male,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,field,West Indies,['E Lewis']
21,1041617,2016-08-28,male,Central Broward Regional Park Stadium Turf Ground,India,West Indies,India,field,no result,['E Lewis']
22,1043989,2017-02-17,female,Melbourne Cricket Ground,Australia,New Zealand,New Zealand,field,Australia,['EJ Villani']
23,1043991,2017-02-19,female,"Simonds Stadium, South Geelong",Australia,New Zealand,Australia,field,New Zealand,['AM Peterson']
24,1043993,2017-02-22,female,Adelaide Oval,Australia,New Zealand,New Zealand,bat,New Zealand,['SW Bates']
25,1044211,2016-09-27,female,Sinhalese Sports Club Ground,Sri Lanka,Australia,Australia,field,Australia,['KM Beams']
26,1050217,2016-09-23,male,Dubai International Cricket Stadium,Pakistan,West Indies,Pakistan,field,Pakistan,['Imad Wasim']
27,1050219,2016-09-24,male,Dubai International Cricket Stadium,Pakistan,West Indies,West Indies,field,Pakistan,['Sarfraz Ahmed']
28,1050221,2016-09-27,male,Sheikh Zayed Stadium,Pakistan,West Indies,Pakistan,field,Pakistan,['Imad Wasim']
29,1050615,2016-11-21,female,Saxton Oval,New Zealand,Pakistan,New Zealand,bat,New Zealand,['Imad Wasim']
30,1065348,2016-12-04,female,Asian Institute of Technology Ground,India,Pakistan,India,bat,India,['M Raj']
31,1072206,2016-12-14,male,ICC Academy,United Arab Emirates,Afghanistan,Afghanistan,bat,Afghanistan,['Karim Janat']
32,1072207,2016-12-16,male,Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,United Arab Emirates,bat,Afghanistan,['Najibullah Zadran']
33,1072208,2016-12-18,male,ICC Academy,United Arab Emirates,Afghanistan,Afghanistan,bat,Afghanistan,['Rashid Khan']
34,1074957,2017-01-14,male,Sheikh Zayed Stadium,Hong Kong,Scotland,Scotland,bat,Scotland,['CS MacLeod']
35,1074958,2017-01-14,male,Sheikh Zayed Stadium,Afghanistan,Ireland,Ireland,bat,Afghanistan,['Mohammad Nabi']
36,1074959,2017-01-15,male,Sheikh Zayed Stadium,Netherlands,Oman,Oman,bat,Netherlands,['MJG Rippon']
37,1074961,2017-01-16,male,Sheikh Zayed Stadium,Hong Kong,Oman,Oman,field,Oman,['Bilal Khan']
38,1074962,2017-01-16,male,Sheikh Zayed Stadium,United Arab Emirates,Afghanistan,Afghanistan,field,Afghanistan,['Dawlat Zadran']
39,1074964,2017-01-17,male,Sheikh Zayed Stadium,Netherlands,Scotland,Netherlands,field,Scotland,['JH Davey']
40,1074965,2017-01-18,male,Dubai International Cricket Stadium,United Arab Emirates,Ireland,Ireland,bat,Ireland,['WB Rankin']
41,1074966,2017-01-18,male,Dubai International Cricket Stadium,Hong Kong,Netherlands,Hong Kong,bat,Hong Kong,['Anshuman Rath']
42,1074968,2017-01-19,male,Dubai International Cricket Stadium,Oman,Scotland,Oman,bat,Scotland,['MH Cross']
43,1074969,2017-01-20,male,Dubai International Cricket Stadium,Afghanistan,Oman,Afghanistan,field,Afghanistan,['Mohammad Shahzad']
44,1074970,2017-01-20,male,Dubai International Cricket Stadium,Ireland,Scotland,Scotland,field,Ireland,['GC Wilson']
45,1074971,2017-01-20,male,Dubai International Cricket Stadium,Afghanistan,Ireland,Ireland,bat,Afghanistan,['Mohammad Nabi']
46,1077947,2017-03-26,male,"Kensington Oval, Bridgetown",West Indies,Pakistan,Pakistan,field,Pakistan,['Shadab Khan']
47,1077948,2017-03-30,male,"Queen's Park Oval, Port of Spain",West Indies,Pakistan,West Indies,field,Pakistan,['Shadab Khan']
48,1083449,2017-04-04,male,R Premadasa Stadium,Sri Lanka,Bangladesh,Bangladesh,bat,Sri Lanka,['MDKJ Perera']
49,1083450,2017-04-06,male,R Premadasa Stadium,Sri Lanka,Bangladesh,Bangladesh,bat,Bangladesh,['Shakib Al Hasan']
50,1085495,2017-04-01,male,"Queen's Park Oval, Port of Spain",West Indies,Pakistan,Pakistan,bat,West Indies,['E Lewis']
51,1085496,2017-04-02,male,"Queen's Park Oval, Port of Spain",West Indies,Pakistan,Pakistan,field,Pakistan,['Hasan Ali']
52,1089202,2017-04-12,male,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,United Arab Emirates,field,United Arab Emirates,['Hasan Ali']
53,1089203,2017-04-14,male,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,United Arab Emirates,['Hasan Ali']
54,1089243,2017-04-14,male,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,United Arab Emirates,['Hasan Ali']
55,1089776,2017-06-02,male,"Warner Park, Basseterre",West Indies,Afghanistan,Afghanistan,bat,West Indies,['SP Narine']
56,1089777,2017-06-03,male,"Warner Park, Basseterre",West Indies,Afghanistan,West Indies,bat,West Indies,['KOK Williams']
57,1089778,2017-06-05,male,"Warner Park, Basseterre",West Indies,Afghanistan,Afghanistan,bat,West Indies,['MN Samuels']
58,1098211,2017-07-09,male,"Sabina Park, Kingston",West Indies,India,West Indies,field,West Indies,['E Lewis']
59,1144161,2019-02-01,male,Newlands,South Africa,Pakistan,Pakistan,field,South Africa,['DA Miller']
60,1144162,2019-02-03,male,The Wanderers Stadium,South Africa,Pakistan,Pakistan,field,South Africa,['DA Miller']
61,1144163,2019-02-06,male,SuperSport Park,South Africa,Pakistan,South Africa,field,Pakistan,['Shadab Khan']
62,1144172,2019-03-19,male,Newlands,South Africa,Sri Lanka,South Africa,field,no result,['DA Miller']
63,1144173,2019-03-22,male,SuperSport Park,South Africa,Sri Lanka,Sri Lanka,field,South Africa,['HE van der Dussen']
64,1144174,2019-03-24,male,The Wanderers Stadium,South Africa,Sri Lanka,Sri Lanka,field,South Africa,['D Pretorius']
65,1152840,2019-05-05,male,Sophia Gardens,England,Pakistan,Pakistan,bat,England,['EJG Morgan']
66,1153696,2019-02-06,male,Westpac Stadium,New Zealand,India,India,field,New Zealand,['TL Seifert']
67,1153697,2019-02-08,male,Eden Park,New Zealand,India,New Zealand,bat,India,['KH Pandya']
68,1153698,2019-02-10,male,Seddon Park,New Zealand,India,India,field,New Zealand,['C Munro']
69,1153843,2019-01-11,male,Eden Park,New Zealand,Sri Lanka,Sri Lanka,field,New Zealand,['DAJ Bracewell']
70,1153858,2019-02-06,female,Westpac Stadium,New Zealand,India,India,field,New Zealand,['LMM Tahuhu']
71,1153859,2019-02-08,female,Eden Park,New Zealand,India,New Zealand,field,New Zealand,['SW Bates']
72,1153860,2019-02-10,female,Seddon Park,New Zealand,India,New Zealand,bat,New Zealand,['SFM Devine']
73,1158071,2019-03-05,male,"Darren Sammy National Cricket Stadium, St Lucia",West Indies,England,England,field,England,['JM Bairstow']
74,1158072,2019-03-08,male,"Warner Park, St Kitts",West Indies,England,West Indies,field,England,['SW Billings']
75,1158073,2019-03-10,male,"Warner Park, St Kitts",West Indies,England,West Indies,bat,England,['DJ Willey']
76,1168020,2019-06-21,female,County Ground,England,West Indies,England,bat,England,['DN Wyatt']
77,1168026,2019-07-26,female,County Ground,England,Australia,England,field,Australia,['MM Lanning']
78,1168027,2019-07-28,female,"County Ground, Hove",England,Australia,England,bat,Australia,['EA Perry']
79,1168028,2019-07-31,female,County Ground,England,Australia,Australia,field,England,['KH Brunt']
80,1168112,2019-02-21,male,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,Ireland,bat,Afghanistan,['Mohammad Nabi']
81,1168113,2019-02-23,male,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,Afghanistan,bat,Afghanistan,['Hazratullah']
82,1168114,2019-02-24,male,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,Ireland,field,Afghanistan,['Mohammad Nabi']
83,1168160,2019-02-01,female,Newlands,South Africa,Sri Lanka,Sri Lanka,bat,South Africa,['D van Niekerk']
84,1168162,2019-02-06,female,SuperSport Park,South Africa,Sri Lanka,Sri Lanka,field,South Africa,['S Luus']
85,1168247,2019-02-24,male,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,Australia,Australia,field,Australia,['NM Coulter-Nile']
86,1168248,2019-02-27,male,M.Chinnaswamy Stadium,India,Australia,Australia,field,Australia,['GJ Maxwell']
87,1168521,2019-07-12,male,"Bready Cricket Club, Magheramason",Ireland,Zimbabwe,Ireland,field,Ireland,['GJ Maxwell']
88,1168522,2019-07-14,male,Bready,Ireland,Zimbabwe,Zimbabwe,field,Zimbabwe,['GJ Maxwell']
89,1170457,2019-01-31,male,ICC Academy,United Arab Emirates,Nepal,Nepal,field,United Arab Emirates,['Shaiman Anwar']
90,1170458,2019-02-01,male,ICC Academy,United Arab Emirates,Nepal,United Arab Emirates,bat,Nepal,['DS Airee']
91,1170459,2019-02-03,male,ICC Academy,United Arab Emirates,Nepal,United Arab Emirates,field,Nepal,['Karan KC']
92,1172163,2019-03-04,female,Barsapara Cricket Stadium,India,England,India,field,England,['TT Beaumont']
93,1172164,2019-03-07,female,Barsapara Cricket Stadium,India,England,England,field,England,['DN Wyatt']
94,1172165,2019-03-09,female,Barsapara Cricket Stadium,India,England,England,bat,England,['KL Cross']
95,1172469,2019-01-31,female,Southend Club Cricket Stadium,Pakistan,West Indies,West Indies,bat,West Indies,['DJS Dottin']
96,1172470,2019-02-01,female,Southend Club Cricket Stadium,Pakistan,West Indies,Pakistan,bat,no result,['SA Campbelle']
97,1172471,2019-02-03,female,Southend Club Cricket Stadium,Pakistan,West Indies,Pakistan,bat,Pakistan,['Nida Dar']
98,1172505,2019-02-13,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Scotland,Netherlands,field,Netherlands,['TP Visee']
99,1172506,2019-02-13,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,Oman,field,Ireland,['PR Stirling']
100,1172507,2019-02-15,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,Netherlands,field,Netherlands,['RE van der Merwe']
101,1172508,2019-02-15,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Scotland,Scotland,field,Scotland,['KJ Coetzer']
102,1172509,2019-02-17,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Netherlands,Ireland,field,Ireland,['A Balbirnie']
103,1172510,2019-02-17,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,Scotland,field,Scotland,['A Neill']
104,1172910,2019-02-18,female,Terdthai Cricket Ground,Thailand,China,Thailand,field,Thailand,['C Sutthiruang']
105,1172911,2019-02-18,female,Asian Institute of Technology Ground,Kuwait,Malaysia,Kuwait,field,Malaysia,['Mas Elysa']
106,1172912,2019-02-18,female,Asian Institute of Technology Ground,Hong Kong,United Arab Emirates,United Arab Emirates,bat,United Arab Emirates,['S Venkataraman']
107,1172913,2019-02-19,female,Terdthai Cricket Ground,Malaysia,Nepal,Nepal,bat,Nepal,['SR Magar']
108,1172914,2019-02-19,female,Terdthai Cricket Ground,China,Hong Kong,China,field,China,['YS To']
109,1172915,2019-02-19,female,Asian Institute of Technology Ground,Kuwait,United Arab Emirates,United Arab Emirates,bat,United Arab Emirates,['CR Seneviratna']
110,1172916,2019-02-21,female,Terdthai Cricket Ground,Malaysia,United Arab Emirates,United Arab Emirates,bat,United Arab Emirates,['CR Seneviratna']
111,1172917,2019-02-21,female,Asian Institute of Technology Ground,Thailand,Nepal,Thailand,bat,Thailand,['C Sutthiruang']
112,1172918,2019-02-21,female,Asian Institute of Technology Ground,China,Kuwait,China,field,China,['Zhang Chan']
113,1172919,2019-02-22,female,Terdthai Cricket Ground,Nepal,United Arab Emirates,United Arab Emirates,bat,Nepal,['Nary Thapa']
114,1172920,2019-02-22,female,Asian Institute of Technology Ground,Thailand,Hong Kong,Thailand,bat,Thailand,['N Chaiwai']
115,1172921,2019-02-22,female,Terdthai Cricket Ground,China,Malaysia,Malaysia,bat,China,['F Song']
116,1172922,2019-02-24,female,Terdthai Cricket Ground,China,United Arab Emirates,China,field,United Arab Emirates,['S Venkataraman']
117,1172923,2019-02-24,female,Asian Institute of Technology Ground,Thailand,Kuwait,Kuwait,bat,Thailand,['S Tippoch']
118,1172924,2019-02-24,female,Asian Institute of Technology Ground,Hong Kong,Nepal,Hong Kong,bat,Nepal,['Nary Thapa']
119,1172925,2019-02-25,female,Terdthai Cricket Ground,Thailand,Malaysia,Malaysia,field,Thailand,['N Chaiwai']
120,1172926,2019-02-25,female,Terdthai Cricket Ground,China,Nepal,China,field,Nepal,['SR Magar']
121,1172927,2019-02-25,female,Asian Institute of Technology Ground,Hong Kong,Kuwait,Hong Kong,field,Hong Kong,['M Yousaf']
122,1172929,2019-02-27,female,Asian Institute of Technology Ground,Kuwait,Nepal,Kuwait,field,Nepal,['RC Belbashi']
123,1172930,2019-02-27,female,Asian Institute of Technology Ground,Thailand,United Arab Emirates,Thailand,bat,Thailand,['RC Belbashi']
124,1173048,2020-02-21,female,Sydney Showground Stadium,Australia,India,Australia,field,India,['Poonam Yadav']
125,1173049,2020-02-22,female,W.A.C.A. Ground,Thailand,West Indies,Thailand,bat,West Indies,['SR Taylor']
126,1173050,2020-02-22,female,W.A.C.A. Ground,New Zealand,Sri Lanka,New Zealand,field,New Zealand,['HNK Jensen']
127,1173051,2020-02-23,female,W.A.C.A. Ground,England,South Africa,South Africa,field,South Africa,['D van Niekerk']
128,1173052,2020-02-24,female,W.A.C.A. Ground,Australia,Sri Lanka,Sri Lanka,bat,Australia,['RL Haynes']
129,1173053,2020-02-24,female,W.A.C.A. Ground,Bangladesh,India,Bangladesh,field,India,['Shafali Verma']
130,1173054,2020-02-26,female,Manuka Oval,England,Thailand,Thailand,field,England,['HC Knight']
131,1173055,2020-02-26,female,Manuka Oval,Pakistan,West Indies,West Indies,bat,Pakistan,['Javeria Khan']
132,1173056,2020-02-27,female,Junction Oval,India,New Zealand,New Zealand,field,India,['Shafali Verma']
133,1173057,2020-02-27,female,Manuka Oval,Australia,Bangladesh,Australia,bat,Australia,['AJ Healy']
134,1173058,2020-02-28,female,Manuka Oval,South Africa,Thailand,South Africa,bat,South Africa,['L Lee']
135,1173059,2020-02-28,female,Manuka Oval,England,Pakistan,Pakistan,field,England,['HC Knight']
136,1173060,2020-02-29,female,Junction Oval,Bangladesh,New Zealand,New Zealand,bat,New Zealand,['HNK Jensen']
137,1173061,2020-02-29,female,Junction Oval,India,Sri Lanka,Sri Lanka,bat,India,['RP Yadav']
138,1173062,2020-03-01,female,Sydney Showground Stadium,Pakistan,South Africa,South Africa,bat,South Africa,['L Wolvaardt']
139,1173063,2020-03-01,female,Sydney Showground Stadium,England,West Indies,England,bat,England,['NR Sciver']
140,1173064,2020-03-02,female,Junction Oval,Bangladesh,Sri Lanka,Bangladesh,bat,Sri Lanka,['HASD Siriwardene']
141,1173065,2020-03-02,female,Junction Oval,Australia,New Zealand,New Zealand,field,Australia,['G Wareham']
142,1173066,2020-03-03,female,Sydney Showground Stadium,Pakistan,Thailand,Thailand,bat,no result,['G Wareham']
143,1173069,2020-03-05,female,Sydney Cricket Ground,Australia,South Africa,South Africa,field,Australia,['MM Lanning']
144,1173070,2020-03-08,female,Melbourne Cricket Ground,Australia,India,Australia,bat,Australia,['AJ Healy']
145,1176435,2019-03-24,female,P Sara Oval,Sri Lanka,England,Sri Lanka,bat,England,['AJ Healy']
146,1176436,2019-03-26,female,P Sara Oval,Sri Lanka,England,Sri Lanka,bat,England,['AJ Healy']
147,1176437,2019-03-28,female,P Sara Oval,Sri Lanka,England,Sri Lanka,field,England,['AJ Healy']
148,1176792,2019-03-22,male,Amini Park,Papua New Guinea,Philippines,Philippines,field,Papua New Guinea,['A Vala']
149,1176793,2019-03-22,male,Amini Park,Papua New Guinea,Vanuatu,Vanuatu,bat,Papua New Guinea,['TP Ura']
150,1176794,2019-03-23,male,Amini Park,Philippines,Vanuatu,Vanuatu,bat,Vanuatu,['TP Ura']
151,1176795,2019-03-23,male,Amini Park,Papua New Guinea,Philippines,Papua New Guinea,bat,no result,['TP Ura']
152,1176796,2019-03-24,male,Amini Park,Philippines,Vanuatu,Vanuatu,field,Philippines,['DC Smith']
153,1176797,2019-03-24,male,Amini Park,Papua New Guinea,Vanuatu,Vanuatu,bat,Papua New Guinea,['L Siaka']
154,1177018,2019-05-15,female,LC de Villiers Oval,South Africa,Pakistan,Pakistan,field,Pakistan,['Nida Dar']
155,1177019,2019-05-18,female,City Oval,South Africa,Pakistan,Pakistan,bat,South Africa,['L Lee']
156,1177020,2019-05-19,female,City Oval,South Africa,Pakistan,Pakistan,field,Pakistan,['Iram Javed']
157,1177021,2019-05-22,female,Willowmoore Park,South Africa,Pakistan,South Africa,field,South Africa,['L Lee']
158,1177022,2019-05-23,female,Willowmoore Park,South Africa,Pakistan,South Africa,field,South Africa,['L Lee']
159,1177484,2019-03-15,male,ICC Academy,United Arab Emirates,United States of America,United Arab Emirates,field,no result,['L Lee']
160,1177485,2019-03-16,male,ICC Academy,United Arab Emirates,United States of America,United Arab Emirates,bat,United Arab Emirates,['Shaiman Anwar']
161,1178996,2019-05-25,male,Sportpark Maarschalkerweerd,Germany,Italy,Italy,field,Italy,['Shaiman Anwar']
162,1179016,2019-04-01,female,United Cricket Club Ground,Namibia,Botswana,Namibia,field,Namibia,['Shaiman Anwar']
163,1179017,2019-04-03,female,United Cricket Club Ground,Namibia,Botswana,Namibia,bat,Namibia,['Shaiman Anwar']
164,1179018,2019-04-03,female,United Cricket Club Ground,Namibia,Botswana,Namibia,bat,Namibia,['Shaiman Anwar']
165,1179610,2019-04-02,female,United Cricket Club Ground,Namibia,Botswana,Botswana,field,Namibia,['Shaiman Anwar']
166,1179611,2019-04-02,female,United Cricket Club Ground,Namibia,Botswana,Botswana,bat,Namibia,['Shaiman Anwar']
167,1182642,2019-05-05,female,Old Hararians,Zimbabwe,Mozambique,Zimbabwe,bat,Zimbabwe,['SM Mayers']
168,1182643,2019-05-05,female,Takashinga Sports Club,Kenya,Namibia,Kenya,field,Namibia,['SA Wittmann']
169,1182644,2019-05-05,female,Old Hararians,Sierra Leone,Uganda,Uganda,bat,Uganda,['D Busingye']
170,1182646,2019-05-06,female,Old Hararians,Mozambique,Nigeria,Nigeria,field,Nigeria,['B Etim']
171,1182648,2019-05-06,female,Old Hararians,Namibia,Uganda,Uganda,field,Namibia,['I van Zyl']
172,1182649,2019-05-06,female,Takashinga Sports Club,Zimbabwe,Tanzania,Zimbabwe,bat,Zimbabwe,['SM Mayers']
173,1182650,2019-05-08,female,Old Hararians,Mozambique,Rwanda,Mozambique,bat,Rwanda,['H Ishimwe']
174,1182652,2019-05-08,female,Old Hararians,Kenya,Uganda,Uganda,bat,Uganda,['C Aweko']
175,1182653,2019-05-08,female,Takashinga Sports Club,Namibia,Sierra Leone,Sierra Leone,bat,Namibia,['M Short']
176,1182654,2019-05-09,female,Old Hararians,Zimbabwe,Rwanda,Zimbabwe,bat,Zimbabwe,['M Mupachikwa']
177,1182656,2019-05-11,female,Old Hararians,Zimbabwe,Nigeria,Nigeria,bat,Zimbabwe,['N Mutasa']
178,1182657,2019-05-11,female,Takashinga Sports Club,Rwanda,Tanzania,Tanzania,bat,Tanzania,['FO Kibasu']
179,1182658,2019-05-12,female,Harare Sports Club,Zimbabwe,Namibia,Namibia,field,Zimbabwe,['CS Mugeri']
180,1182904,2019-05-06,female,"Ground 1, Independence Park",Vanuatu,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,['R Oa']
181,1182905,2019-05-06,female,"Ground 2, Independence Park",Indonesia,Japan,Japan,bat,Indonesia,['Y Anggraeni']
182,1182906,2019-05-06,female,"Ground 1, Independence Park",Indonesia,Papua New Guinea,Indonesia,bat,Papua New Guinea,['NM Ambo']
183,1182909,2019-05-07,female,"Ground 2, Independence Park",Fiji,Papua New Guinea,Fiji,bat,Papua New Guinea,['R Oa']
184,1182912,2019-05-09,female,"Ground 1, Independence Park",Vanuatu,Samoa,Vanuatu,bat,Samoa,"[""RSM Lili'i""]"
185,1182913,2019-05-09,female,"Ground 2, Independence Park",Fiji,Japan,Japan,bat,Japan,['N Tokizawa']
186,1182914,2019-05-09,female,"Ground 1, Independence Park",Japan,Papua New Guinea,Japan,bat,Papua New Guinea,['K Arua']
187,1182916,2019-05-10,female,"Ground 1, Independence Park",Fiji,Indonesia,Indonesia,field,Indonesia,['N Sitompul']
188,1182917,2019-05-10,female,"Ground 2, Independence Park",Vanuatu,Japan,Japan,bat,Vanuatu,['N Navaika']
189,1182918,2019-05-10,female,"Ground 1, Independence Park",Papua New Guinea,Samoa,Papua New Guinea,field,Papua New Guinea,['K Arua']
190,1183510,2019-09-29,female,North Sydney Oval,Australia,Sri Lanka,Australia,bat,Australia,['BL Mooney']
191,1183511,2019-09-30,female,North Sydney Oval,Australia,Sri Lanka,Sri Lanka,bat,Australia,['BL Mooney']
192,1183512,2019-10-02,female,North Sydney Oval,Australia,Sri Lanka,Australia,bat,Australia,['AJ Healy']
193,1183524,2019-10-27,male,Adelaide Oval,Australia,Sri Lanka,Sri Lanka,field,Australia,['DA Warner']
