unique_id,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
0,1023581,12/20/2016,male,Sydney Showground Stadium,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,['MC Henriques']
1,1023583,12/21/2016,male,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,field,Brisbane Heat,['BB McCullum']
2,1023585,12/22/2016,male,Docklands Stadium,Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Melbourne Renegades,['AJ Finch']
3,1023587,12/23/2016,male,Sydney Cricket Ground,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,field,Hobart Hurricanes,['DJM Short']
4,1023589,12/23/2016,male,Western Australia Cricket Association Ground,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Perth Scorchers,['AJ Turner']
5,1023591,12/26/2016,male,Bellerive Oval,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,bat,Melbourne Stars,['RJ Quiney']
6,1023593,12/27/2016,male,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Sixers,['J Botha']
7,1023595,12/28/2016,male,Sydney Showground Stadium,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,['CA Lynn']
8,1023597,12/29/2016,male,Docklands Stadium,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,['M Klinger']
9,1023599,12/30/2016,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Hobart Hurricanes,Brisbane Heat,field,Brisbane Heat,['CA Lynn']
10,1023601,12/31/2016,male,Adelaide Oval,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers,['SA Abbott']
11,1023603,1/1/2017,male,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Renegades,['GB Hogg']
12,1023605,1/1/2017,male,Western Australia Cricket Association Ground,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers,['MR Marsh']
13,1023607,1/2/2017,male,Bellerive Oval,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,field,Hobart Hurricanes,['DT Christian']
14,1023609,1/3/2017,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,['DP Hughes']
15,1023611,1/4/2017,male,Sydney Showground Stadium,Sydney Thunder,Melbourne Stars,Sydney Thunder,field,Sydney Thunder,['EJG Morgan']
16,1023613,1/5/2017,male,Western Australia Cricket Association Ground,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Brisbane Heat,['CA Lynn']
17,1023615,1/6/2017,male,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,field,Adelaide Strikers,['BR Dunk']
18,1023617,1/7/2017,male,Docklands Stadium,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Melbourne Stars,['A Zampa']
19,1023619,1/8/2017,male,Bellerive Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Sydney Thunder,['SR Watson']
20,1023621,1/9/2017,male,Sydney Cricket Ground,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,bat,Sydney Sixers,['BJ Haddin']
21,1023623,1/10/2017,male,Melbourne Cricket Ground,Melbourne Stars,Adelaide Strikers,Melbourne Stars,field,Melbourne Stars,['BW Hilfenhaus']
